,Stop ID,Name,Agency,X,Y
0,70261,San Jose Diridon Caltrain,Caltrain,-121.903011,37.329239
1,70241,Santa Clara Caltrain,Caltrain,-121.93608,37.353238
2,70231,Lawrence Caltrain,Caltrain,-121.997114,37.370598
3,70221,Sunnyvale Caltrain,Caltrain,-122.031372,37.378916
4,70211,Mountain View Caltrain,Caltrain,-122.075956,37.39445900000001
5,70201,San Antonio Caltrain,Caltrain,-122.107069,37.407323
6,70191,California Ave Caltrain,Caltrain,-122.141927,37.429365
7,70171,Palo Alto Caltrain,Caltrain,-122.164614,37.443475
8,70161,Menlo Park Caltrain,Caltrain,-122.182297,37.454856
9,70141,Redwood City Caltrain,Caltrain,-122.231936,37.486159
10,70131,San Carlos Caltrain,Caltrain,-122.26015,37.50805
11,70121,Belmont Caltrain,Caltrain,-122.275738,37.52089
12,70111,Hillsdale Caltrain,Caltrain,-122.297349,37.537868
13,70101,Hayward Park Caltrain,Caltrain,-122.30933799999998,37.552938
14,70091,San Mateo Caltrain,Caltrain,-122.323851,37.568087
15,70081,Burlingame Caltrain,Caltrain,-122.3449,37.580197
16,70061,Millbrae Caltrain,Caltrain,-122.386647,37.59988
17,70051,San Bruno Caltrain,Caltrain,-122.411968,37.631128
18,70041,South San Francisco Caltrain,Caltrain,-122.40487,37.65589
19,70031,Bayshore Caltrain,Caltrain,-122.401586,37.709537
20,70021,22nd Street Caltrain,Caltrain,-122.39188,37.757599
21,70011,San Francisco Caltrain,Caltrain,-122.394992,37.77639
22,70271,Tamien Caltrain,Caltrain,-121.883721,37.31174
23,70321,Gilroy Caltrain,Caltrain,-121.566088,37.003538
24,70311,San Martin Caltrain,Caltrain,-121.610049,37.085225
25,70301,Morgan Hill Caltrain,Caltrain,-121.650244,37.129363
26,70291,Blossom Hill Caltrain,Caltrain,-121.797643,37.252422
27,70281,Capitol Caltrain,Caltrain,-121.841955,37.284102
28,70251,College Park Caltrain,Caltrain,-121.9146,37.342384
29,70012,San Francisco Caltrain,Caltrain,-122.394935,37.776348
30,70022,22nd Street Caltrain,Caltrain,-122.392404,37.757583
31,70032,Bayshore Caltrain,Caltrain,-122.40198,37.709544
32,70042,South San Francisco Caltrain,Caltrain,-122.405018,37.655946
33,70052,San Bruno Caltrain,Caltrain,-122.412076,37.63110800000001
34,70062,Millbrae Caltrain,Caltrain,-122.386832,37.599797
35,70082,Burlingame Caltrain,Caltrain,-122.345075,37.580186
36,70092,San Mateo Caltrain,Caltrain,-122.324092,37.568294
37,70102,Hayward Park Caltrain,Caltrain,-122.309608,37.552994
38,70112,Hillsdale Caltrain,Caltrain,-122.297461,37.537814
39,70122,Belmont Caltrain,Caltrain,-122.275816,37.520844
40,70132,San Carlos Caltrain,Caltrain,-122.260266,37.507933
41,70142,Redwood City Caltrain,Caltrain,-122.232,37.486101
42,70162,Menlo Park Caltrain,Caltrain,-122.182405,37.454745
43,70172,Palo Alto Caltrain,Caltrain,-122.164697,37.443405
44,70192,California Ave Caltrain,Caltrain,-122.141978,37.429333
45,70202,San Antonio Caltrain,Caltrain,-122.107125,37.407277
46,70212,Mountain View Caltrain,Caltrain,-122.075994,37.394402
47,70222,Sunnyvale Caltrain,Caltrain,-122.031423,37.37878900000001
48,70232,Lawrence Caltrain,Caltrain,-121.997135,37.37048400000001
49,70242,Santa Clara Caltrain,Caltrain,-121.936135,37.353189
50,70262,San Jose Diridon Caltrain,Caltrain,-121.903173,37.329231
51,70272,Tamien Caltrain,Caltrain,-121.883999,37.31175
52,70252,College Park Caltrain,Caltrain,-121.914677,37.342338
53,70282,Capitol Caltrain,Caltrain,-121.842037,37.284062
54,70292,Blossom Hill Caltrain,Caltrain,-121.797683,37.252379
55,70302,Morgan Hill Caltrain,Caltrain,-121.650304,37.129321
56,70312,San Martin Caltrain,Caltrain,-121.610936,37.08665300000001
57,70322,Gilroy Caltrain,Caltrain,-121.566225,37.003485
58,70151,Atherton Caltrain,Caltrain,-122.19779,37.464645
59,70071,Broadway Caltrain,Caltrain,-122.36265,37.58764
60,70072,Broadway Caltrain,Caltrain,-122.362708,37.587552
61,70152,Atherton Caltrain,Caltrain,-122.197869,37.464584
0,LAFY,Lafayette BART Station,Bay Area Rapid Transit,-122.12463,37.893176
1,ORIN,Orinda BART Station,Bay Area Rapid Transit,-122.183791,37.878361
2,ROCK,Rockridge BART Station,Bay Area Rapid Transit,-122.251371,37.84470200000001
3,MCAR,MacArthur BART Station,Bay Area Rapid Transit,-122.26704,37.829065
4,19TH,19th St. Oakland BART Station,Bay Area Rapid Transit,-122.268602,37.80835
5,12TH,12th St. Oakland City Center BART Station,Bay Area Rapid Transit,-122.27145,37.803768
6,WOAK,West Oakland BART Station,Bay Area Rapid Transit,-122.29514,37.804872
7,EMBR,Embarcadero BART Station,Bay Area Rapid Transit,-122.39702,37.792874
8,MONT,Montgomery St. BART Station,Bay Area Rapid Transit,-122.401066,37.789405
9,POWL,Powell St. BART Station,Bay Area Rapid Transit,-122.407974,37.784471
10,CIVC,Civic Center/UN Plaza BART Station,Bay Area Rapid Transit,-122.414123,37.779732
11,16TH,16th St. Mission BART Station,Bay Area Rapid Transit,-122.419694,37.765062
12,24TH,24th St. Mission BART Station,Bay Area Rapid Transit,-122.418143,37.75247
13,GLEN,Glen Park BART Station,Bay Area Rapid Transit,-122.433817,37.733064
14,BALB,Balboa Park BART Station,Bay Area Rapid Transit,-122.447506,37.721585
15,DALY,Daly City BART Station,Bay Area Rapid Transit,-122.469081,37.706121
16,COLM,Colma BART Station,Bay Area Rapid Transit,-122.466233,37.684638
17,SSAN,South San Francisco BART Station,Bay Area Rapid Transit,-122.44396,37.664245
18,SBRN,San Bruno BART Station,Bay Area Rapid Transit,-122.416287,37.637761
19,SFIA,San Francisco International Airport BART Station,Bay Area Rapid Transit,-122.392409,37.615966
20,MLBR,Millbrae BART Station,Bay Area Rapid Transit,-122.386702,37.600271
21,ANTC,Antioch BART Station,Bay Area Rapid Transit,-121.78042,37.995388
22,PCTR,Pittsburg Center BART Station,Bay Area Rapid Transit,-121.889457,38.016941
23,PITT,Pittsburg/Bay Point BART Station,Bay Area Rapid Transit,-121.945154,38.018914
24,NCON,North Concord/Martinez BART Station,Bay Area Rapid Transit,-122.024653,38.003193
25,CONC,Concord BART Station,Bay Area Rapid Transit,-122.029095,37.973737
26,PHIL,Pleasant Hill/Contra Costa Centre BART Station,Bay Area Rapid Transit,-122.056012,37.928468
27,WCRK,Walnut Creek BART Station,Bay Area Rapid Transit,-122.067527,37.905522
28,COLS,Coliseum BART Station,Bay Area Rapid Transit,-122.196869,37.753661
29,FTVL,Fruitvale BART Station,Bay Area Rapid Transit,-122.224175,37.774836
30,LAKE,Lake Merritt BART Station,Bay Area Rapid Transit,-122.26518,37.797027
31,DUBL,Dublin/Pleasanton BART Station,Bay Area Rapid Transit,-121.899179,37.701687
32,WDUB,West Dublin/Pleasanton BART Station,Bay Area Rapid Transit,-121.92824,37.699756
33,CAST,Castro Valley BART Station,Bay Area Rapid Transit,-122.075602,37.690746
34,BAYF,Bay Fair BART Station,Bay Area Rapid Transit,-122.126514,37.696924
35,SANL,San Leandro BART Station,Bay Area Rapid Transit,-122.160844,37.721947
36,OAKL,Oakland International Airport BART Station,Bay Area Rapid Transit,-122.212191,37.713238
37,ASHB,Ashby BART Station,Bay Area Rapid Transit,-122.270062,37.852803
38,DBRK,Downtown Berkeley BART Station,Bay Area Rapid Transit,-122.268133,37.870104
39,NBRK,North Berkeley BART Station,Bay Area Rapid Transit,-122.28343999999998,37.873967
40,PLZA,El Cerrito Plaza BART Station,Bay Area Rapid Transit,-122.298904,37.902632
41,DELN,El Cerrito del Norte BART Station,Bay Area Rapid Transit,-122.316794,37.925086
42,RICH,Richmond BART Station,Bay Area Rapid Transit,-122.353099,37.936853
43,WARM,Warm Springs/South Fremont BART Station,Bay Area Rapid Transit,-121.93931299999998,37.502171
44,FRMT,Fremont BART Station,Bay Area Rapid Transit,-121.976608,37.557465
45,UCTY,Union City BART Station,Bay Area Rapid Transit,-122.01738799999998,37.59063
46,SHAY,South Hayward BART Station,Bay Area Rapid Transit,-122.057189,37.634375
47,HAYW,Hayward BART Station,Bay Area Rapid Transit,-122.087018,37.669723
0,27000,Oceanside Transit Center,North County Transit District,-117.378349712726,33.19087547793701
1,27001,Coast Hwy Station,North County Transit District,-117.36834956700301,33.181865754037
2,27002,Crouch St Station,North County Transit District,-117.35351376406,33.194611570232
3,27003,El Camino Real Station,North County Transit District,-117.33247763423999,33.199656321826
4,27004,Rancho Del Oro Station,North County Transit District,-117.311230893167,33.201544018499
5,27005,College Blvd Station,North County Transit District,-117.28814274833,33.204545635908
6,27006,Melrose Dr Station,North County Transit District,-117.259087133482,33.21955298364
7,27007,Vista Transit Center,North County Transit District,-117.24473141987801,33.202787840657
8,27008,Civic Center - Vista Station,North County Transit District,-117.237476077306,33.190535416782
9,27009,Buena Creek Station,North County Transit District,-117.207393065041,33.173499948825004
10,27010,Palomar College Station,North County Transit District,-117.185314167201,33.146953349033
11,27011,San Marcos Civic Center Station,North County Transit District,-117.160669925403,33.141956010076
12,27012,Cal State San Marcos Station,North County Transit District,-117.15358486806002,33.134771148883
13,27013,Nordahl Rd Station,North County Transit District,-117.12415414067199,33.131112408242004
14,27014,Escondido Transit Center,North County Transit District,-117.092159956519,33.118418960896
15,28000,Oceanside Transit Center,North County Transit District,-117.379711001246,33.192253830309
16,28001,Carlsbad Village Station,North County Transit District,-117.35077350828101,33.160705598407
17,28002,Carlsbad Poinsettia Station,North County Transit District,-117.318983733594,33.108632920226995
18,28003,Encinitas Station,North County Transit District,-117.293209899662,33.047109908155
19,28004,Solana Beach Station,North County Transit District,-117.27160543750999,32.993265068423
20,28005,Sorrento Valley Station,North County Transit District,-117.22520479822799,32.902855761430004
21,28006,San Diego - Old Town,North County Transit District,-117.199404799816,32.754177255593
22,28007,San Diego - Santa Fe Depot,North County Transit District,-117.17008950649901,32.717511486123
0,7086,Historic Folsom Station (WB),Sacramento Regional Transit,-121.180467,38.67545
1,7087,Glenn Station (WB),Sacramento Regional Transit,-121.183667,38.662733
2,7088,Iron Point Station (WB),Sacramento Regional Transit,-121.190567,38.644317
3,7089,Hazel Station (WB),Sacramento Regional Transit,-121.212754,38.630217
4,7066,Sunrise Station (WB),Sacramento Regional Transit,-121.267248,38.606523
5,7067,Cordova Town Center Station (WB),Sacramento Regional Transit,-121.283655,38.598441
6,7068,Zinfandel Station (WB),Sacramento Regional Transit,-121.290917,38.594833
7,7069,Mather Field/Mills Station (WB),Sacramento Regional Transit,-121.311617,38.584483
8,7070,Butterfield Station (WB),Sacramento Regional Transit,-121.34708700000002,38.566977
9,7071,Tiber Station (WB),Sacramento Regional Transit,-121.353483,38.563817
10,7072,Starfire Station (WB),Sacramento Regional Transit,-121.362547,38.559245
11,7073,Watt/Manlove Station (WB),Sacramento Regional Transit,-121.373651,38.553684
12,7074,College Greens Station (WB),Sacramento Regional Transit,-121.393899,38.547035
13,7075,Power Inn Station (WB),Sacramento Regional Transit,-121.4081,38.547483
14,7076,University/65th Street Station (WB),Sacramento Regional Transit,-121.42748600000002,38.552648
15,7077,59th Street Station (WB),Sacramento Regional Transit,-121.436289,38.554995
16,7078,48th Street Station (WB),Sacramento Regional Transit,-121.449346,38.558592
17,7079,39th Street Station (WB),Sacramento Regional Transit,-121.457653,38.56087
18,7080,29th Street Station (WB),Sacramento Regional Transit,-121.47155,38.564667
19,7081,23rd Street Station (WB),Sacramento Regional Transit,-121.479207,38.566701
20,7032,16th Street Station (WB),Sacramento Regional Transit,-121.489998,38.570121
21,7033,13th Street Station (WB),Sacramento Regional Transit,-121.493783,38.571133
22,7034,Archives Plaza Station (WB),Sacramento Regional Transit,-121.494278,38.574381
23,7035,8th & O Station (WB),Sacramento Regional Transit,-121.498084,38.575439
24,7036,8th & Capitol Station (WB),Sacramento Regional Transit,-121.49773,38.577521
25,7091,8th & K Station (NB),Sacramento Regional Transit,-121.496515,38.580371
26,7095,8th & H Station (NB),Sacramento Regional Transit,-121.495389,38.58292
27,7092,Sacramento Valley Station (WB),Sacramento Regional Transit,-121.500439,38.58462700000001
28,7098,CRC Station (NB),Sacramento Regional Transit,-121.41826299999998,38.454141
29,7104,Center Parkway Station (WB),Sacramento Regional Transit,-121.430422,38.458941
30,7102,Franklin Station (WB),Sacramento Regional Transit,-121.449009,38.463285
31,7025,Meadowview Station (WB),Sacramento Regional Transit,-121.467258,38.483607
32,7026,Florin Station (WB),Sacramento Regional Transit,-121.471646,38.498243
33,7027,47th Avenue Station (WB),Sacramento Regional Transit,-121.476017,38.512383
34,7028,Fruitridge Station (WB),Sacramento Regional Transit,-121.480233,38.526083
35,7029,City College Station (WB),Sacramento Regional Transit,-121.485473,38.542579
