Route,Border location,Nationality,JAN2009,FEB2009,MAR2009,APR2009,MAY2009,JUN2009,JUL2009,AUG2009,SEP2009,OCT2009,NOV2009,DEC2009,JAN2010,FEB2010,MAR2010,APR2010,MAY2010,JUN2010,JUL2010,AUG2010,SEP2010,OCT2010,NOV2010,DEC2010,JAN2011,FEB2011,MAR2011,APR2011,MAY2011,JUN2011,JUL2011,AUG2011,SEP2011,OCT2011,NOV2011,DEC2011,JAN2012,FEB2012,MAR2012,APR2012,MAY2012,JUN2012,JUL2012,AUG2012,SEP2012,OCT2012,NOV2012,DEC2012,JAN2013,FEB2013,MAR2013,APR2013,MAY2013,JUN2013,JUL2013,AUG2013,SEP2013,OCT2013,NOV2013,DEC2013,JAN2014,FEB2014,MAR2014,APR2014,MAY2014,JUN2014,JUL2014,AUG2014,SEP2014,OCT2014,NOV2014,DEC2014,JAN2015,FEB2015,MAR2015,APR2015,MAY2015,JUN2015,JUL2015,AUG2015,SEP2015,OCT2015,NOV2015,DEC2015,JAN2016,FEB2016,MAR2016,APR2016,MAY2016,JUN2016,JUL2016,AUG2016,SEP2016,OCT2016,NOV2016,DEC2016,JAN2017,FEB2017,MAR2017,APR2017,MAY2017,JUN2017,JUL2017,AUG2017,SEP2017,OCT2017,NOV2017,DEC2017,JAN2018,FEB2018,MAR2018,APR2018,MAY2018,JUN2018,JUL2018,AUG2018,SEP2018,OCT2018,NOV2018,DEC2018,JAN2019,FEB2019,MAR2019,APR2019,MAY2019
Eastern Mediterranean Route,Sea,Afghanistan,770,564,779,1067,1336,1454,1326,1375,1372,987,394,334,104,161,44,95,161,166,148,187,232,49,12,14,12,8,18,16,16,20,25,109,22,48,12,4,7,22,15,34,42,29,0,211,176,253,472,332,120,171,201,397,343,396,735,480,312,336,313,276,213,212,203,303,399,844,1398,1856,1937,2381,1242,594,462,546,1522,3206,4896,8399,12607,17728,26404,65642,44174,26700,18846,13736,6069,634,305,211,232,382,508,445,236,171,64,77,132,93,129,172,285,588,741,801,353,278,206,183,228,332,304,498,701,1263,1927,1528,768,1659,987,928,925,507,723
Eastern Mediterranean Route,Sea,Syria,9,16,20,10,11,16,22,18,13,9,2,38,9,17,10,23,29,11,21,8,11,0,0,0,4,1,8,4,6,7,10,6,0,17,7,6,6,10,16,19,16,2,0,151,133,210,295,48,80,211,223,252,319,751,696,418,630,651,629,501,456,659,953,1019,1286,2252,2831,4719,5245,4581,1956,1068,799,1725,5058,8099,11188,18802,37504,84977,101590,109671,66482,43116,30308,29577,14512,1362,546,437,526,1200,890,1178,756,278,407,535,828,485,722,807,1422,1682,2463,1900,1724,982,459,446,1033,1421,1367,465,532,550,707,571,330,292,185,136,294,354,580
Eastern Mediterranean Route,Sea,Congo (D.R.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,6,53,89,78,168,110,71,31,11,114,0,1,0,55,117,58,97,81,52,0,0,61,1,8,0,0,0,0,0,0,41,0,0,0,0,29,1,0,0,40,0,52,132,59,287,102,111,81,383,142,288,54,21,123,168,421
Eastern Mediterranean Route,Sea,Iraq,69,42,39,120,67,43,55,102,35,31,16,12,14,7,9,22,10,11,35,22,39,1,5,1,9,7,1,10,7,7,8,16,1,1,2,7,2,2,4,2,5,1,0,9,0,19,1,2,0,4,12,5,2,6,7,1,19,0,1,0,2,2,3,0,5,2,26,31,39,39,199,34,37,80,204,487,754,1467,1951,3435,12357,22670,18962,27726,11964,9222,2664,388,189,174,113,382,470,656,220,131,109,112,206,187,375,295,413,1105,1373,936,737,569,476,350,620,529,688,458,420,529,694,715,344,206,164,248,328,195,246
Eastern Mediterranean Route,Sea,Palestine,215,299,514,389,564,544,388,656,527,828,656,773,554,225,200,178,69,103,32,17,50,5,0,67,3,10,3,3,14,10,7,34,14,12,18,0,3,13,2,1,4,0,0,37,41,76,64,167,20,59,37,39,1,8,13,6,12,0,29,2,3,7,0,4,22,39,50,166,140,24,23,17,6,11,110,121,169,236,257,487,779,1744,1274,1137,457,489,397,174,46,61,46,46,52,44,64,96,133,34,96,39,48,70,35,60,142,52,64,50,35,43,45,47,129,185,99,156,175,150,175,332,328,72,132,281,239
Eastern Mediterranean Route,Sea,Somalia,406,395,577,414,546,526,475,418,461,658,344,455,114,179,35,53,3,2,5,11,7,0,7,0,0,0,3,7,4,2,18,3,1,2,2,0,0,0,0,7,3,1,0,2,1,7,1,34,1,63,25,60,57,73,21,15,61,51,55,44,155,79,104,104,89,201,119,152,113,272,119,114,107,101,232,340,204,286,379,402,404,878,814,323,164,82,146,5,7,0,19,7,4,11,1,3,0,6,11,4,14,4,20,15,49,61,36,23,10,9,27,55,72,67,143,112,95,105,12,30,8,7,19,107,143
Eastern Mediterranean Route,Sea,Iran,0,9,5,3,4,1,28,20,17,9,0,20,6,7,1,3,3,39,16,15,22,2,0,2,0,1,1,0,3,3,6,2,2,0,0,0,0,0,1,1,3,3,0,7,3,2,1,21,2,7,4,44,6,3,26,4,12,1,1,0,1,2,1,1,7,12,12,11,5,4,33,7,18,10,46,71,75,169,307,455,1725,7293,9315,3511,2193,1565,734,79,68,52,74,122,149,217,71,29,25,18,42,56,58,55,49,106,176,89,82,37,28,14,51,43,56,70,49,60,69,65,36,72,39,42,44,52,104
Eastern Mediterranean Route,Sea,Congo,1,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,35,24,2,1,3,0,95,130,122,102,0,64,81,177,0,0,0,0,0,0,0,34,0,97,25,60,113,163,127,108,64,5,177,175,39,21,4,17,94,178,60,0,31,23,0,5,31,52,3,5,1,1,114,0,1,94,100
Eastern Mediterranean Route,Sea,Cameroon,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,0,0,0,0,1,1,0,1,4,6,1,0,0,0,0,0,0,0,0,7,52,78,55,59,24,19,21,44,54,106,103,62,113,57,133,53,73,53,24,24,35,17,11,15,24,43,27,23,41,32,28,18,60,23,60,30,23,42,62,45,75,83,53,12,72,139,31,232,53,131,94,175,107,102,31,16,42,61,75
Eastern Mediterranean Route,Sea,Ghana,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0,2,2,24,7,4,18,23,43,55,23,17,32,16,26,13,10,8,2,2,4,4,0,3,5,25,5,8,9,8,6,2,0,6,6,8,3,4,12,4,14,14,10,9,16,29,0,21,11,13,15,56,13,21,2,8,15,20,57
