County,Distance to Nearest Primary Commercial Airport (mi.),Average Travel Time to Work (Minutes),Workers Commuting Into the County,Workers Commuting Out of the County,Net Workers Commuting Into/Out of the County,Residents Who Work in Own County,Percentage of Employed Residents Who Work in Own County (%),Percentage of County Jobs Held by Residents (%),Percentage of County Jobs Held by Non-Residents (%)
Source,Maryland Department of Commerce,U.S. Census Bureau,U.S. Census Bureau,U.S. Census Bureau,U.S. Census Bureau,U.S. Census Bureau,U.S. Census Bureau,U.S. Census Bureau,U.S. Census Bureau
Note,"Distance from county seat to the nearest primary hub airport, as defined by the Federal Aviation Administration.",,,,Difference between the number of residents commuting out and non-residents commuting into the county to work. Negative number reflects more residents commuting out than non-residents commuting in. Does not include county residents who work in the county.,,,,
Quote,,,,,,,,,
Talbot County,61.2,26.6,9857,5338,4519,12273,69.7,55.5,44.5
Baltimore County,17.8,29.5,153141,204321,-51180,208510,50.5,57.7,42.3
Anne Arundel County,23.2,30.2,115982,123510,-7528,173468,58.4,59.9,40.1
Garrett County,139.8,24.2,2833,3497,-664,10241,74.5,78.3,21.7
Dorchester County,80.1,26.3,3363,6096,-2733,8751,58.9,72.2,27.8
Somerset County,121.6,24.9,2708,4060,-1352,4275,51.3,61.2,38.8
Charles County,33.9,43.9,15133,48448,-33315,30622,38.7,66.9,33.1
Calvert County,55.7,41.9,6136,27467,-21331,17795,39.3,74.4,25.6
Carroll County,36.9,35.6,18052,47074,-29022,39775,45.8,68.8,31.2
Washington County,75.7,29.3,24012,22368,1644,43869,66.2,64.6,35.4
Howard County,10.5,30.9,93181,95901,-2720,70306,42.3,43,57
Frederick County,50.8,35,34721,54217,-19496,74500,57.9,68.2,31.8
Worcester County,126.7,24.3,9298,6977,2321,16472,70.2,63.9,36.1
Wicomico County,108.7,21.2,13299,11732,1567,36941,75.9,73.5,26.5
Prince George's County,20.6,36.9,160263,284654,-124391,184978,39.4,53.6,46.4
Baltimore City,9.8,30.7,211668,104631,107037,168322,61.7,44.3,55.7
Queen Anne's County,51.4,36.2,5782,14663,-8881,10310,41.3,64.1,35.9
Montgomery County,23.6,34.7,182632,213809,-31177,332115,60.8,64.5,35.5
Kent County,68.9,26.7,3100,2892,208,6035,67.6,66.1,33.9
Cecil County,41.7,29.3,11368,26604,-15236,23354,46.7,67.3,32.7
St. Mary's County,64.1,30.9,9553,14201,-4648,40924,74.2,81.1,18.9
Harford County,40.2,32.1,29477,56987,-27510,71514,55.7,70.8,29.2
Date of Data,Date of Data: 2010,Date of Data: 2013-2017,Date of Data: 2013-2017,Date of Data: 2013-2017,Date of Data: 2013-2017,Date of Data: 2013-2017,Date of Data: 2013-2017,Date of Data: 2013-2017,Date of Data: 2013-2017
Allegany County,139.3,20.9,8247,4300,3947,23808,84.7,74.3,25.7
Caroline County,64.9,32.1,3506,9192,-5686,6195,40.3,63.9,36.1
